dim	coefficient
0	0.04987841
1	0.0075735524
2	-0.0035477951
3	-0.012483291
4	0.034516655
5	0.030563189
6	0.02974297
7	0.045088753
8	-0.025980022
9	0.032793242
10	-0.018233001
11	-0.01393874
12	-0.034549013
13	0.041453183
14	0.06141187
15	0.014376925
16	-0.05608744
17	0.037620872
18	-0.035927862
19	0.008907922
20	-0.038208682
21	0.08706654
22	0.027568042
23	-0.008054793
24	-0.027265005
25	0.0154755935
26	0.08749657
27	-0.027731556
28	-0.07756987
29	-5.2507967e-05
30	0.099609636
31	0.020805962
32	-0.046721213
33	-0.12939152
34	-0.097117834
35	0.0135254245
36	-0.04591238
37	0.044054136
38	0.024804924
39	0.0072562844
40	-0.013776635
41	-0.020711271
42	0.023524363
43	-0.093407415
44	-0.029267116
45	-0.07026411
46	0.011723595
47	0.044465065
48	0.06886191
49	-0.10345803
50	0.0076072086
51	-0.048252203
52	-0.04063825
53	-0.05406261
54	-0.02564706
55	-0.046489414
56	-0.01731664
57	0.0065752193
58	-0.02536898
59	-0.016385047
60	-0.012033022
61	0.028355168
62	-0.007169555
63	0.04515671
64	-0.07924921
65	-0.060874745
66	-0.0957073
67	-0.02012231
68	0.004505677
69	-0.039162826
70	-0.004432217
71	-0.07761715
72	0.07341657
73	0.0019595046
74	0.108170144
75	-0.034387022
76	-0.0586442
77	0.017735803
78	0.05053033
79	-0.024194492
80	-0.043926578
81	-0.12186496
82	-0.07819466
83	-0.07200916
84	0.04547946
85	0.034035202
86	-0.052278675
87	0.032329842
88	0.026271272
89	0.007897554
90	0.019122038
91	0.07274195
92	-0.0053572915
93	0.05372635
94	-0.003378251
95	0.018761983
96	-0.12744102
97	0.025296275
98	-0.032020103
99	-0.0792982
100	0.022360094
101	-0.0030941989
102	-0.015616305
103	-0.11811166
104	-0.06610231
105	0.0738574
106	-0.044330407
107	-0.018585162
108	-0.10529481
109	-0.009942651
110	0.03802992
111	-0.0521499
112	-0.015989922
113	0.068233915
114	-0.017637892
115	-0.0073107714
116	-0.061937362
117	0.010802076
118	0.004945825
119	-0.014419362
120	-0.032066565
121	-0.06269686
122	-0.019604115
123	0.032856144
124	0.0504971
125	-0.014307362
126	-0.018963723
127	-0.04021717
128	0.016812772
129	0.03897318
130	0.0055497186
131	-0.08413535
132	0.01953284
133	-0.0890387
134	0.07683131
135	0.018173467
136	0.006609264
137	0.02856873
138	-0.01832397
139	0.0048912056
140	0.012854922
141	0.016410332
142	-0.003729451
143	0.0048507378
144	-0.004963858
145	0.017516464
146	-0.036837116
147	0.058531795
148	0.035623066
149	-0.013271021
150	0.0017420808
151	-0.039979827
152	-0.025842078
153	-0.054316524
154	0.0053979196
155	-0.04125639
156	0.0054101804
157	-0.055714525
158	0.015047035
159	-0.06406862
160	0.053163826
161	-0.015226586
162	0.0182736
163	0.05354989
164	-1.5622936e-05
165	0.013963139
166	-0.02388322
167	0.13190642
168	0.06283095
169	0.08867884
170	0.029297097
171	-0.008565989
172	0.0130371535
173	0.03499072
174	0.02713701
175	-0.013770293
176	-0.06295271
177	-0.07657533
178	-0.025344107
179	0.017819213
180	-0.023329671
181	-0.019119136
182	0.06595376
183	-0.061206125
184	-0.005244636
185	-0.004154835
186	0.033101715
187	0.06545399
188	0.046451688
189	-0.019888524
190	-0.0075020804
191	0.07036194
192	-0.004010568
193	-0.044411305
194	0.04737798
195	-0.05810725
196	0.08685196
197	-0.012912694
198	-0.03983097
199	0.054272298
200	-0.062591456
201	0.005673251
202	0.010333809
203	0.03421966
204	0.037250854
205	-0.036374796
206	0.020583853
207	-0.034193397
208	0.0020398984
209	-0.06012969
210	-0.026737034
211	-0.02506511
212	0.05229173
213	-0.058541473
214	-0.02470654
215	-0.12355121
216	0.04898541
217	0.036894653
218	-0.0047629946
219	-0.047097985
220	-0.07448667
221	-0.06836918
222	0.066610396
223	-0.0038256291
224	-0.013532041
225	0.005157264
226	-0.017371502
227	-0.07031588
228	-0.029388856
229	-0.07903003
230	0.07245806
231	-0.02924454
232	-0.08635818
233	-0.04264008
234	0.017883535
235	-0.025051866
236	0.029753534
237	0.05606096
238	0.01006209
239	0.01889961
240	0.013238993
241	-0.02440849
242	-0.06790338
243	-0.087919354
244	0.05334056
245	0.0021731006
246	-0.042259287
247	0.028452832
248	-0.03599149
249	-0.0831219
250	0.015040298
251	-0.008098533
252	-0.044602457
253	0.01962737
254	0.09679632
255	-0.025321927
256	0.05408166
257	-0.049653344
258	0.06974373
259	-0.07502509
260	0.024133982
261	0.006476207
262	0.013883772
263	0.07677579
264	0.06956175
265	0.0096385665
266	0.023090309
267	0.11098047
268	0.06029614
269	-0.0026004668
270	0.004565105
271	-0.030130949
272	-0.04889472
273	-0.11479028
274	0.01637797
275	0.01175745
276	0.093435116
277	-0.008943452
278	-0.063453965
279	0.11484457
280	-0.05690319
281	0.026304182
282	0.10049693
283	-0.10015174
284	-0.097473145
285	0.046109755
286	0.013118872
287	-0.015536872
288	-0.040696535
289	0.003527659
290	0.026191272
291	-0.031289898
292	-0.034066387
293	-0.11079668
294	0.074599035
295	-0.009012106
296	0.0023206193
297	0.014182502
298	0.07716134
299	-0.0027734777
300	0.021459937
301	0.067405015
302	-0.07039225
303	0.067862116
304	0.010831386
305	0.03855048
306	0.064724825
307	-0.07159143
308	0.04007238
309	0.023835277
310	0.04119712
311	0.0053143986
312	0.027077666
313	-0.035173785
314	-0.04089609
315	0.0038488794
316	0.05611588
317	-0.03566555
318	0.036254235
319	-0.033612512
320	0.018232942
321	0.0058891643
322	0.034092776
323	-0.007822333
324	0.032771714
325	-0.07514997
326	-0.016657675
327	-0.013797838
328	0.09980481
329	0.021430556
330	-0.029376876
331	-0.018102106
332	-0.09490568
333	-0.009240801
334	0.036022425
335	-0.02620321
336	-0.012174172
337	-0.05479511
338	0.022051157
339	0.030786598
340	-0.07727058
341	0.055657525
342	0.025301417
343	-0.0043739667
344	0.062457703
345	-0.08003868
346	0.029898938
347	0.06888748
348	0.0804915
349	-0.016281417
350	0.01876073
351	-0.08199298
352	0.033851814
353	-0.14188325
354	-0.006502779
355	0.0127409
356	-0.0014831452
357	0.0057473313
358	0.03605105
359	-0.16552772
360	0.0070154034
361	0.014810484
362	0.046146832
363	-0.06125988
364	-0.09180981
365	-0.011557991
366	0.008650588
367	0.05812448
368	0.04628316
369	-0.056972183
370	-0.06618825
371	-0.098438606
372	0.028837685
373	0.03496801
374	-0.012434591
375	0.06198303
376	-0.016462628
377	0.0522786
378	0.045306724
379	0.00664295
380	-0.011470113
381	0.009973695
382	0.0017755884
383	0.031239258
384	-0.016429346
385	0.07749661
386	0.008007243
387	0.09770935
388	-0.023431027
389	0.052632634
390	-0.026238443
391	-0.0061407406
392	0.016423393
393	-0.06776088
394	0.045661807
395	-0.019613612
396	0.038744304
397	-0.008706602
398	0.05523262
399	0.06827481
400	0.02915244
401	0.024890205
402	0.04844015
403	-0.0045565893
404	0.006723579
405	-0.050590098
406	-0.0064786877
407	0.08582831
408	0.007768042
409	0.007533449
